,,Base,Base,Base,Random Sampling,Random Sampling,Random Sampling,SMOTE Sampling,SMOTE Sampling,SMOTE Sampling,Min Max Scaler,Min Max Scaler,Min Max Scaler,Standard Scaler,Standard Scaler,Standard Scaler,Min Max Scaler (Log),Min Max Scaler (Log),Min Max Scaler (Log),Standard Scaler (Log),Standard Scaler (Log),Standard Scaler (Log),Feature Selection,Feature Selection,Feature Selection,Grid Search CV,Grid Search CV,Grid Search CV
,,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree,k-Nearest Neighbor,Gaussian Naive Bayes,Decision Tree
0,precision,0.43445544554455445,0.052412150089338895,0.5366336633663367,0.4876111817026684,0.3884297520661157,0.630859375,0.8808763030714543,0.38762214983713356,0.8678957406230133,0.2836767036450079,0.2502762103402372,0.0,0.0,0.2502762103402372,0.18574456809750928,0.0,0.025493578685068047,0.050443906376109765,0.0,0.031006160164271046,0.08144690781796966,0.6567040265670403,0,0.5181278839815425,0.9353249410241957,0,0
0,recall,0.3973198116624411,0.03187250996015936,0.588917059036581,0.6172094893445919,0.22677925211097708,0.6493767591475673,0.9498471079719195,0.23063008742839916,0.881950127051122,0.003854601834704337,1.0,0.0,0.0,1.0,0.015095396011886817,0.0,0.04817095255342267,0.09054690329590728,0.0,0.054690329590728,0.12640347700108656,0.5729808040565013,0,0.569358927924665,0.9647917653645721,0,0
0,f1-score,0.41505864547862276,0.03963963963963964,0.5615610429977551,0.5448092280390417,0.2863670982482864,0.6399841489994056,0.9140625,0.2891937138845385,0.8748664929294655,0.007605855233805689,0.4003534711295989,0.0,0.0,0.4003534711295989,0.027921612363578426,0.0,0.03334168964652795,0.06479201762342879,0.0,0.03957541606604639,0.09906329832529094,0.6119922630560929,0,0.5425366695427092,0.9498298688771346,0,0
0,support,2761.0,2761.0,2761.0,2487.0,2487.0,2487.0,46438.0,46438.0,46438.0,46438.0,46438.0,46438.0,46438.0,46438.0,46438.0,2761.0,2761.0,2761.0,2761.0,2761.0,2761.0,2761.0,0,2761.0,46438.0,0,0
1,precision,0.3215451577801959,0.0,0.4569377990430622,0.4550713459313536,0.0,0.5860704392560349,0.862902109654586,0.0,0.852571185720357,0.2917046490428441,0.0,0.3023255813953488,0.0,0.0,0.18446601941747573,0.0,0.0,0.059789972899728996,0.0,0.0,0.022988505747126436,0.6695821185617103,0,0.4376056814338857,0.9270679660066076,0,0
1,recall,0.2261768082663605,0.0,0.5116724071947952,0.4750402576489533,0.0,0.5962157809983897,0.935761915993053,0.0,0.8602671583867578,0.006861210574840799,0.0,0.00027873667960290745,0.0,0.0,0.0008147687557623449,0.0,0.0,0.1350937619594336,0.0,0.0,0.0015308075009567547,0.527363184079602,0,0.49521622655951014,0.9566457256802247,0,0
1,f1-score,0.2655583015052797,0.0,0.4827586206896552,0.4648414417963364,0.0,0.5910995809219717,0.8978563199473337,0.0,0.8564018826241475,0.013407072230601643,0.0,0.0005569598560472988,0.0,0.0,0.001622371651190095,0.0,0.0,0.08289303745450276,0.0,0.0,0.0028704700394689632,0.5900235495611218,0,0.46463195691202874,0.9416246333073043,0,0
1,support,2613.0,2613.0,2613.0,2484.0,2484.0,2484.0,46639.0,46639.0,46639.0,46639.0,46639.0,46639.0,46639.0,46639.0,46639.0,2613.0,2613.0,2613.0,2613.0,2613.0,2613.0,2613.0,0,2613.0,46639.0,0,0
2,precision,0.358148893360161,0.0,0.4236320913058073,0.45943523083818916,0.0,0.5739236393176279,0.8610885780424589,0.0,0.8527630905679686,0.24110671936758893,0.0,0.2538719775270991,0.0,0.0,0.2521244267639096,0.0,0.0,0.05070514388195973,0.0,0.0,0.051985300708075645,0.6959706959706959,0,0.40971316818774445,0.9219821424872077,0,0
2,recall,0.19215545160129544,0.0,0.4541201871176682,0.4249585406301824,0.0,0.585820895522388,0.937146056286471,0.0,0.861264830645335,0.0013134945414612089,0.0,0.867918434142245,0.0,0.0,0.9825800478025882,0.0,0.0,0.22382151853184598,0.0,0.0,0.2087081684059014,0.47858942065491183,0,0.45232097876934146,0.9583126978316574,0,0
